"Step","val/avg_episode_reward","behavioral-cloning-without-position-steps-2025-03-13-15-12-50 - val/avg_episode_reward__MIN","behavioral-cloning-without-position-steps-2025-03-13-15-12-50 - val/avg_episode_reward__MAX","val/source/avg_episode_reward","behavioral-cloning-without-position-steps-2025-03-13-15-12-50 - val/source/avg_episode_reward__MIN","behavioral-cloning-without-position-steps-2025-03-13-15-12-50 - val/source/avg_episode_reward__MAX"
"0","24.82","24.82","24.82","27.86","27.86","27.86"
"10","109.49","109.49","109.49","116.88","116.88","116.88"
"20","389.61","389.61","389.61","397.21","397.21","397.21"
"30","584.56","584.56","584.56","559.14","559.14","559.14"
"40","634.78","634.78","634.78","642.77","642.77","642.77"
"50","658.71","658.71","658.71","656.9","656.9","656.9"
"60","660.55","660.55","660.55","665.15","665.15","665.15"
"70","665.19","665.19","665.19","639.97","639.97","639.97"
"80","680","680","680","681.31","681.31","681.31"
"90","670.51","670.51","670.51","681.35","681.35","681.35"