"Step","val/avg_episode_entropy","behavioral-cloning-2025-03-13-11-03-33 - val/avg_episode_entropy__MIN","behavioral-cloning-2025-03-13-11-03-33 - val/avg_episode_entropy__MAX","val/source/avg_episode_entropy","behavioral-cloning-2025-03-13-11-03-33 - val/source/avg_episode_entropy__MIN","behavioral-cloning-2025-03-13-11-03-33 - val/source/avg_episode_entropy__MAX"
"0","0.6840210577588941","0.6840210577588941","0.6840210577588941","0.6860877386010658","0.6860877386010658","0.6860877386010658"
"10","0.5266197903730323","0.5266197903730323","0.5266197903730323","0.5287240977640605","0.5287240977640605","0.5287240977640605"
"20","0.4637121846876015","0.4637121846876015","0.4637121846876015","0.46013223775736045","0.46013223775736045","0.46013223775736045"
"30","0.4319749171899083","0.4319749171899083","0.4319749171899083","0.42453134840612244","0.42453134840612244","0.42453134840612244"
"40","0.4109439296638338","0.4109439296638338","0.4109439296638338","0.4106050815733882","0.4106050815733882","0.4106050815733882"
"50","0.3944311776099112","0.3944311776099112","0.3944311776099112","0.39372672111045937","0.39372672111045937","0.39372672111045937"
"60","0.3855779907614641","0.3855779907614641","0.3855779907614641","0.38481562090152105","0.38481562090152105","0.38481562090152105"
"70","0.3849979704233341","0.3849979704233341","0.3849979704233341","0.37833547833348113","0.37833547833348113","0.37833547833348113"
"80","0.36932604046851253","0.36932604046851253","0.36932604046851253","0.37060828036036264","0.37060828036036264","0.37060828036036264"
"90","0.3727246870517563","0.3727246870517563","0.3727246870517563","0.3728659783799636","0.3728659783799636","0.3728659783799636"