"Step","val/avg_episode_reward","val/avg_episode_reward__MIN","val/avg_episode_reward__MAX","val/source/avg_episode_reward","val/source/avg_episode_reward__MIN","val/source/avg_episode_reward__MAX"
"0","24.76","24.76","24.76","25.24","25.24","25.24"
"10","95.96","95.96","95.96","103.94","103.94","103.94"
"20","412.99","412.99","412.99","376.85","376.85","376.85"
"30","684.12","684.12","684.12","682.13","682.13","682.13"
"40","693.76","693.76","693.76","698.9","698.9","698.9"
"50","700","700","700","700","700","700"
"60","700","700","700","700","700","700"
"70","700","700","700","700","700","700"
"80","700","700","700","700","700","700"
"90","695.39","695.39","695.39","700","700","700"